,DK,uGCN,Mix,GCN,dataset,cleaned,round,AB
0,1,0,0,0,AIDS,yes,0,A
1,1,0,0,0,AIDS,yes,0,B
2,1,0,0,0,AIDS,yes,1,A
3,1,0,0,0,AIDS,yes,1,B
4,1,0,0,0,AIDS,yes,2,A
5,1,0,0,0,AIDS,yes,2,B
6,1,0,0,0,AIDS,yes,3,A
7,1,0,0,0,AIDS,yes,3,B
8,1,0,0,0,AIDS,yes,4,A
9,1,0,0,0,AIDS,yes,4,B
10,1,0,0,0,AIDS,yes,5,A
11,1,0,0,0,AIDS,yes,5,B
12,1,0,0,0,AIDS,yes,6,A
13,1,0,0,0,AIDS,yes,6,B
14,1,0,0,0,AIDS,yes,7,A
15,1,0,0,0,AIDS,yes,7,B
16,1,0,0,0,AIDS,yes,8,A
17,1,0,0,0,AIDS,yes,8,B
18,1,0,0,0,AIDS,yes,9,A
19,1,0,0,0,AIDS,yes,9,B
20,1,0,0,0,AIDS,yes,10,A
21,1,0,0,0,AIDS,yes,10,B
22,1,0,0,0,AIDS,yes,11,A
23,1,0,0,0,AIDS,yes,11,B
24,1,0,0,0,AIDS,no,0,A
25,1,0,0,0,AIDS,no,0,B
26,1,0,0,0,AIDS,no,1,A
27,1,0,0,0,AIDS,no,1,B
28,1,0,0,0,AIDS,no,2,A
29,1,0,0,0,AIDS,no,2,B
30,1,0,0,0,AIDS,no,3,A
31,1,0,0,0,AIDS,no,3,B
32,1,0,0,0,AIDS,no,4,A
33,1,0,0,0,AIDS,no,4,B
34,1,0,0,0,AIDS,no,5,A
35,1,0,0,0,AIDS,no,5,B
36,1,0,0,0,AIDS,no,6,A
37,1,0,0,0,AIDS,no,6,B
38,1,0,0,0,AIDS,no,7,A
39,1,0,0,0,AIDS,no,7,B
40,1,0,0,0,AIDS,no,8,A
41,1,0,0,0,AIDS,no,8,B
42,1,0,0,0,AIDS,no,9,A
43,1,0,0,0,AIDS,no,9,B
44,1,0,0,0,AIDS,no,10,A
45,1,0,0,0,AIDS,no,10,B
46,1,0,0,0,AIDS,no,11,A
47,1,0,0,0,AIDS,no,11,B
48,0,0,0,1,BZR,yes,0,A
49,0,0,0,1,BZR,yes,0,B
50,0,0,0,1,BZR,yes,1,A
51,0,0,0,1,BZR,yes,1,B
52,0,0,1,0,BZR,yes,2,A
53,0,0,0,1,BZR,yes,2,B
54,0,0,0,1,BZR,yes,3,A
55,0,0,0,1,BZR,yes,3,B
56,0,0,0,1,BZR,yes,4,A
57,0,0,0,1,BZR,yes,4,B
58,0,1,0,0,BZR,yes,5,A
59,0,0,0,1,BZR,yes,5,B
60,0,0,0,1,BZR,yes,6,A
61,0,0,0,1,BZR,yes,6,B
62,0,1,0,0,BZR,yes,7,A
63,0,0,0,1,BZR,yes,7,B
64,0,0,0,1,BZR,yes,8,A
65,0,0,0,1,BZR,yes,8,B
66,0,0,0,1,BZR,yes,9,A
67,0,0,0,1,BZR,yes,9,B
68,0,0,0,1,BZR,yes,10,A
69,0,0,0,1,BZR,yes,10,B
70,0,1,0,0,BZR,yes,11,A
71,0,0,0,1,BZR,yes,11,B
72,1,0,0,0,BZR,no,0,A
73,0,0,0,1,BZR,no,0,B
74,0,0,0,1,BZR,no,1,A
75,0,0,0,1,BZR,no,1,B
76,0,0,0,1,BZR,no,2,A
77,0,0,0,1,BZR,no,2,B
78,1,0,0,0,BZR,no,3,A
79,0,0,0,1,BZR,no,3,B
80,0,0,0,1,BZR,no,4,A
81,0,0,0,1,BZR,no,4,B
82,0,0,1,0,BZR,no,5,A
83,0,0,0,1,BZR,no,5,B
84,0,0,1,0,BZR,no,6,A
85,0,0,0,1,BZR,no,6,B
86,1,0,0,0,BZR,no,7,A
87,0,0,0,1,BZR,no,7,B
88,0,0,1,0,BZR,no,8,A
89,0,0,1,0,BZR,no,8,B
90,0,0,1,0,BZR,no,9,A
91,0,0,0,1,BZR,no,9,B
92,0,1,0,0,BZR,no,10,A
93,0,0,0,1,BZR,no,10,B
94,1,0,0,0,BZR,no,11,A
95,1,0,0,0,BZR,no,11,B
96,0,0,0,1,COX2,yes,0,A
97,0,0,0,1,COX2,yes,0,B
98,0,1,0,0,COX2,yes,1,A
99,0,0,0,1,COX2,yes,1,B
100,0,0,0,1,COX2,yes,2,A
101,0,0,0,1,COX2,yes,2,B
102,0,0,1,0,COX2,yes,3,A
103,0,0,0,1,COX2,yes,3,B
104,0,1,0,0,COX2,yes,4,A
105,0,0,0,1,COX2,yes,4,B
106,0,0,0,1,COX2,yes,5,A
107,0,0,0,1,COX2,yes,5,B
108,0,1,0,0,COX2,yes,6,A
109,0,0,0,1,COX2,yes,6,B
110,0,0,0,1,COX2,yes,7,A
111,0,0,0,1,COX2,yes,7,B
112,0,0,0,1,COX2,yes,8,A
113,0,0,0,1,COX2,yes,8,B
114,0,0,0,1,COX2,yes,9,A
115,0,0,0,1,COX2,yes,9,B
116,0,0,0,1,COX2,yes,10,A
117,0,0,0,1,COX2,yes,10,B
118,0,0,0,1,COX2,yes,11,A
119,0,0,0,1,COX2,yes,11,B
120,0,0,1,0,COX2,no,0,A
121,0,0,0,1,COX2,no,0,B
122,0,0,0,1,COX2,no,1,A
123,0,0,0,1,COX2,no,1,B
124,0,0,0,1,COX2,no,2,A
125,0,0,0,1,COX2,no,2,B
126,0,0,0,1,COX2,no,3,A
127,0,0,0,1,COX2,no,3,B
128,0,0,0,1,COX2,no,4,A
129,0,0,0,1,COX2,no,4,B
130,0,0,0,1,COX2,no,5,A
131,0,0,0,1,COX2,no,5,B
132,0,0,0,1,COX2,no,6,A
133,0,0,0,1,COX2,no,6,B
134,0,1,0,0,COX2,no,7,A
135,0,0,0,1,COX2,no,7,B
136,0,0,0,1,COX2,no,8,A
137,0,0,0,1,COX2,no,8,B
138,0,0,0,1,COX2,no,9,A
139,0,0,0,1,COX2,no,9,B
140,0,0,0,1,COX2,no,10,A
141,0,0,0,1,COX2,no,10,B
142,0,0,0,1,COX2,no,11,A
143,0,0,0,1,COX2,no,11,B
144,0,0,0,1,DHFR,yes,0,A
145,0,0,0,1,DHFR,yes,0,B
146,0,0,1,0,DHFR,yes,1,A
147,0,0,1,0,DHFR,yes,1,B
148,0,0,1,0,DHFR,yes,2,A
149,0,0,1,0,DHFR,yes,2,B
150,0,0,0,1,DHFR,yes,3,A
151,0,0,0,1,DHFR,yes,3,B
152,0,0,0,1,DHFR,yes,4,A
153,0,0,0,1,DHFR,yes,4,B
154,0,1,0,0,DHFR,yes,5,A
155,0,0,0,1,DHFR,yes,5,B
156,0,0,0,1,DHFR,yes,6,A
157,0,0,0,1,DHFR,yes,6,B
158,1,0,0,0,DHFR,yes,7,A
159,0,0,0,1,DHFR,yes,7,B
160,0,0,1,0,DHFR,yes,8,A
161,0,0,1,0,DHFR,yes,8,B
162,0,0,1,0,DHFR,yes,9,A
163,0,0,0,1,DHFR,yes,9,B
164,0,0,0,1,DHFR,yes,10,A
165,0,0,0,1,DHFR,yes,10,B
166,0,0,0,1,DHFR,yes,11,A
167,0,0,0,1,DHFR,yes,11,B
168,0,0,1,0,DHFR,no,0,A
169,0,0,1,0,DHFR,no,0,B
170,0,0,1,0,DHFR,no,1,A
171,0,0,1,0,DHFR,no,1,B
172,1,0,0,0,DHFR,no,2,A
173,0,0,0,1,DHFR,no,2,B
174,0,0,1,0,DHFR,no,3,A
