Input	Status	Suggested Match	Public Name For	Sequence Name For	Molecular Name For	Other Name For	Split Into	Merged Into	History
qars-1	Live - Unique	WBGene00001336	WBGene00001336						Public name for WBGene00001336. History: Renamed on 2010-01-29
daf-7	Live - Unique	WBGene00000903	WBGene00000903						Public name for WBGene00000903. History: N.A.
rrf-1	Live - Unique	WBGene00004508	WBGene00004508						Public name for WBGene00004508. History: N.A.
pqm-1	Live - Unique	WBGene00004096	WBGene00004096						Public name for WBGene00004096. History: N.A.
nre-1	Live - Unique	WBGene00045274	WBGene00045274						Public name for WBGene00045274. History: N.A.
lin-15B	Live - Unique	WBGene00023497	WBGene00023497						Public name for WBGene00023497. History: N.A.
sad-1	Live - Unique	WBGene00004719	WBGene00004719						Public name for WBGene00004719. History: N.A.
C27F2.5	Live - Unique	WBGene00016167		WBGene00016167	WBGene00016167				Sequence name for WBGene00016167(vps-22). History: N.A.
fer-15	Live - Unique	WBGene00004510				WBGene00004510			Other name for WBGene00004510(rrf-3). History: Renamed on 2016-06-06
daf-2	Live - Unique	WBGene00000898	WBGene00000898						Public name for WBGene00000898. History: N.A.
rpn-8	Live - Unique	WBGene00004464	WBGene00004464						Public name for WBGene00004464. History: N.A.
nuo-2	Live - Split	WBGene00020417	WBGene00020417				WBGene00271694		Public name for WBGene00020417. History: Split into T10E9.14(WBGene00271694). History of WBGene00020417: Renamed on 2008-02-26; Renamed on 2015-03-02; Split into "WBGene00271694" on 2017-04-28
F40G9.11	Live - Unique	WBGene00003510		WBGene00003510	WBGene00003510				Sequence name for WBGene00003510(mxl-2). History: N.A.
mxl-2	Live - Unique	WBGene00003510	WBGene00003510						Public name for WBGene00003510. History: N.A.
vps-34	Live - Unique	WBGene00006932	WBGene00006932						Public name for WBGene00006932. History: N.A.
dpr-1	Live - Unique	WBGene00001062	WBGene00001062						Public name for WBGene00001062. History: N.A.
Y48G1A.4	Live - Unique	WBGene00021660		WBGene00021660	WBGene00021660				Sequence name for WBGene00021660(nol-14). History: N.A.
gld-1	Live - Unique	WBGene00001595	WBGene00001595						Public name for WBGene00001595. History: N.A.
sinh-1	Live - Unique	WBGene00013261	WBGene00013261						Public name for WBGene00013261. History: N.A.
ins-1	Live - Multiple Gene IDs	WBGene00002084	WBGene00002084			WBGene00002101			Public name for WBGene00002084. History: Renamed on 2006-12-04. Other name for WBGene00002101(ins-18). History: N.A.
daf-23	Live - Unique	WBGene00000090				WBGene00000090			Other name for WBGene00000090(age-1). History: N.A.
ddr-2	Live - Unique	WBGene00017381	WBGene00017381						Public name for WBGene00017381. History: Renamed on 2018-03-02
dod-18	Live - Unique	WBGene00008316	WBGene00008316						Public name for WBGene00008316. History: N.A.
K08D10.7	Live - Unique	WBGene00019530		WBGene00019530	WBGene00019530				Sequence name for WBGene00019530(scrm-8). History: N.A.
osm-9	Live - Unique	WBGene00003889	WBGene00003889						Public name for WBGene00003889. History: N.A.
kri-1	Live - Unique	WBGene00013955	WBGene00013955						Public name for WBGene00013955. History: N.A.
dod-15	Live - Unique	WBGene00007072				WBGene00007072			Other name for WBGene00007072(ugt-1). History: Renamed on 2004-08-25
chc-1	Live - Unique	WBGene00011867	WBGene00011867						Public name for WBGene00011867. History: Renamed on 2008-04-30
C47D12.6	Live - Unique	WBGene00006617		WBGene00006617					Sequence name for WBGene00006617(tars-1). History: Renamed on 2010-01-29
Y39G10AR.8	Live - Unique	WBGene00021466		WBGene00021466	WBGene00021466				Sequence name for WBGene00021466(eif-2gamma). History: N.A.
daf-22	Live - Unique	WBGene00013284	WBGene00013284						Public name for WBGene00013284. History: N.A.
atg-9	Live - Unique	WBGene00020706	WBGene00020706						Public name for WBGene00020706. History: Renamed on 2008-02-29
T28D6.4	Live - Unique	WBGene00012124	WBGene00012124	WBGene00012124	WBGene00012124				Public name for WBGene00012124. History: N.A.
clk-10	Live - Unique	WBGene00202510	WBGene00202510						Public name for WBGene00202510. History: N.A.
daf-16	Live - Unique	WBGene00000912	WBGene00000912						Public name for WBGene00000912. History: N.A.
hsp-16.11	Live - Unique	WBGene00002017	WBGene00002017						Public name for WBGene00002017. History: N.A.
pha-4	Live - Unique	WBGene00004013	WBGene00004013						Public name for WBGene00004013. History: N.A.
rps-11	Live - Unique	WBGene00004480	WBGene00004480						Public name for WBGene00004480. History: N.A.
ins-22	Live - Unique	WBGene00002105	WBGene00002105						Public name for WBGene00002105. History: N.A.
isp-1	Live - Unique	WBGene00002162	WBGene00002162						Public name for WBGene00002162. History: N.A.
ctb-1	Live - Unique	WBGene00000829	WBGene00000829						Public name for WBGene00000829. History: N.A.
scl-5	Live - Unique	WBGene00008027	WBGene00008027						Public name for WBGene00008027. History: N.A.
jnk-1	Live - Unique	WBGene00002178	WBGene00002178						Public name for WBGene00002178. History: N.A.
daf-19	Live - Unique	WBGene00000914	WBGene00000914						Public name for WBGene00000914. History: N.A.
prmt-1	Live - Unique	WBGene00013766	WBGene00013766						Public name for WBGene00013766. History: N.A.
aakg-2	Live - Unique	WBGene00020633	WBGene00020633						Public name for WBGene00020633. History: N.A.
C12D8.10	Live - Unique	WBGene00000102		WBGene00000102					Sequence name for WBGene00000102(akt-1). History: N.A.
fem-2	Live - Unique	WBGene00001412	WBGene00001412						Public name for WBGene00001412. History: N.A.
wwp-1	Live - Unique	WBGene00007009	WBGene00007009						Public name for WBGene00007009. History: N.A.
F20B6.8	Live - Split	WBGene00001994		WBGene00001994			WBGene00303101		Sequence name for WBGene00001994(hpk-1). History: Split into F20B6.10(WBGene00303101). History of WBGene00001994: Split into "WBGene00303101" on 2018-03-06
hpk-1	Live - Split	WBGene00001994	WBGene00001994				WBGene00303101		Public name for WBGene00001994. History: Split into F20B6.10(WBGene00303101). History of WBGene00001994: Split into "WBGene00303101" on 2018-03-06
Y39F10C.1	Live - Split	WBGene00021457	WBGene00021457	WBGene00021457			WBGene00206368		Public name for WBGene00021457. History: Split into Y39F10C.3(WBGene00206368). History of WBGene00021457: Split into "WBGene00206368" on 2010-12-09
rrf-3	Live - Unique	WBGene00004510	WBGene00004510						Public name for WBGene00004510. History: Renamed on 2016-06-06
cst-1	Live - Unique	WBGene00017472	WBGene00017472						Public name for WBGene00017472. History: N.A.
unc-64	Live - Unique	WBGene00006798	WBGene00006798						Public name for WBGene00006798. History: Renamed on 2010-04-16
smk-1	Live - Unique	WBGene00018285	WBGene00018285						Public name for WBGene00018285. History: Renamed on 2007-10-22
skr-3	Live - Unique	WBGene00004809	WBGene00004809						Public name for WBGene00004809. History: N.A.
sca-1	Live - Unique	WBGene00004736	WBGene00004736						Public name for WBGene00004736. History: N.A.
T14G10.1	Live - Unique	WBGene00004091		WBGene00004091					Sequence name for WBGene00004091(pps-1). History: N.A.
