35 83
500 644 0.5
500 658 0.5
644 500 0.0322581
658 500 0.0322581
797 500 0.0322581
500 797 0.0909091
416 500 0.0322581
500 416 0.5
820 500 0.0322581
500 820 0.5
500 393 0.5
393 500 0.0322581
500 692 0.5
500 320 0.5
692 500 0.0322581
320 500 0.0322581
500 806 1
806 500 0.0322581
500 417 1
417 500 0.0322581
797 416 0.5
937 500 0.0322581
346 500 0.0322581
500 346 1
416 797 0.0909091
500 937 0.5
508 500 0.0322581
500 76 1
76 500 0.0322581
500 508 1
500 464 1
464 500 0.0322581
943 500 0.0322581
500 460 1
430 500 0.0322581
863 500 0.0322581
500 430 1
797 393 0.5
460 500 0.0322581
500 863 1
500 387 1
387 500 0.0322581
500 943 1
393 797 0.0909091
797 644 0.5
119 500 0.0322581
500 119 1
797 658 0.5
500 814 1
658 797 0.0909091
644 797 0.0909091
320 797 0.0909091
797 320 0.5
337 500 0.0322581
500 337 1
500 307 1
500 401 1
401 500 0.0322581
500 238 1
814 500 0.0322581
797 937 0.5
937 797 0.0909091
500 402 1
500 602 1
307 500 0.0322581
402 500 0.0322581
688 500 0.0322581
797 692 0.5
238 500 0.0322581
797 719 1
602 500 0.0322581
820 797 0.0909091
500 688 1
797 820 0.5
500 473 1
692 797 0.0909091
719 797 0.0909091
304 500 0.0322581
500 304 1
943 797 0.0909091
473 500 0.0322581
500 529 1
500 607 1
